Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.53,-0.44,-0.3,-0.46,-0.11,-0.26,-0.29,-0.29,-0.33,-0.26,-0.39,-0.41,-0.34,***,***,-0.29,-0.28,-0.33
1881,-0.09,-0.24,-0.02,-0.07,-0.12,-0.42,-0.05,-0.03,-0.22,-0.34,-0.42,-0.3,-0.19,-0.2,-0.25,-0.07,-0.17,-0.33
1882,0.19,0.21,-0.03,-0.4,-0.33,-0.31,-0.18,0.01,-0.02,-0.5,-0.36,-0.39,-0.18,-0.17,0.03,-0.25,-0.16,-0.29
1883,-0.58,-0.66,-0.18,-0.3,-0.3,-0.23,-0.14,-0.26,-0.3,-0.12,-0.33,-0.25,-0.3,-0.32,-0.54,-0.26,-0.21,-0.25
1884,-0.21,-0.13,-0.65,-0.59,-0.4,-0.49,-0.44,-0.49,-0.45,-0.34,-0.44,-0.36,-0.42,-0.41,-0.2,-0.55,-0.47,-0.41
1885,-1.11,-0.35,-0.18,-0.55,-0.56,-0.55,-0.33,-0.44,-0.32,-0.29,-0.27,0.03,-0.41,-0.44,-0.61,-0.43,-0.44,-0.29
1886,-0.66,-0.67,-0.57,-0.36,-0.36,-0.43,-0.14,-0.46,-0.3,-0.25,-0.34,-0.11,-0.39,-0.38,-0.43,-0.43,-0.34,-0.3
1887,-1,-0.53,-0.32,-0.4,-0.32,-0.13,-0.11,-0.42,-0.12,-0.37,-0.19,-0.44,-0.36,-0.34,-0.55,-0.35,-0.22,-0.23
1888,-0.57,-0.57,-0.63,-0.29,-0.14,-0.04,0.06,-0.1,-0.08,0.05,-0.03,-0.34,-0.22,-0.23,-0.53,-0.35,-0.03,-0.02
1889,-0.4,0.29,0.02,0.12,-0.07,-0.13,0.02,-0.12,-0.2,-0.33,-0.54,-0.52,-0.16,-0.14,-0.15,0.02,-0.08,-0.36
1890,-0.66,-0.6,-0.42,-0.33,-0.48,-0.15,-0.27,-0.4,-0.41,-0.11,-0.52,-0.41,-0.4,-0.41,-0.59,-0.41,-0.27,-0.35
1891,-0.62,-0.74,-0.09,-0.28,-0.17,-0.13,-0.15,-0.11,0.03,-0.24,-0.55,0.08,-0.25,-0.29,-0.59,-0.18,-0.13,-0.25
1892,-0.35,-0.17,-0.54,-0.41,-0.23,0,-0.15,-0.07,-0.32,-0.21,-0.87,-0.49,-0.32,-0.27,-0.15,-0.4,-0.07,-0.47
1893,-1.32,-0.85,-0.28,-0.3,-0.35,-0.17,-0.11,-0.25,-0.16,-0.19,-0.2,-0.64,-0.4,-0.39,-0.89,-0.31,-0.18,-0.19
1894,-0.87,-0.42,-0.19,-0.51,-0.24,-0.46,-0.31,-0.28,-0.26,-0.22,-0.47,-0.32,-0.38,-0.4,-0.64,-0.31,-0.35,-0.32
1895,-0.73,-0.75,-0.36,-0.2,-0.26,-0.26,-0.17,-0.29,0.04,-0.11,-0.08,-0.18,-0.28,-0.29,-0.6,-0.28,-0.24,-0.05
1896,-0.43,-0.23,-0.53,-0.62,-0.19,0.06,-0.02,-0.1,-0.07,0.04,-0.29,-0.23,-0.22,-0.21,-0.28,-0.44,-0.02,-0.11
1897,-0.37,-0.34,-0.32,0.01,0.16,-0.03,0.02,0.03,-0.03,-0.13,-0.24,-0.33,-0.13,-0.12,-0.31,-0.05,0,-0.14
1898,0.02,-0.45,-0.73,-0.28,-0.36,-0.12,-0.12,-0.17,-0.12,-0.31,-0.44,-0.22,-0.28,-0.28,-0.25,-0.46,-0.14,-0.29
1899,-0.1,-0.6,-0.48,-0.2,-0.23,-0.33,-0.19,-0.02,-0.01,0.14,0.39,-0.45,-0.17,-0.15,-0.31,-0.3,-0.18,0.17
